glob_id,external_id,similarity_score,method,overlap
GLOB2_1659,GLOB_GAVOC_02070,100.0,1,False
GLOB2_1878,GLOB_GAVOC_02073,88.88888888888889,1,True
GLOB_880,GLOB_GAVOC_02073,100.0,1,False
GLOB_490,GLOB_GAVOC_02089,100.0,1,False
GLOB2_1505,GLOB_GAVOC_02106,100.0,1,True
GLOB_620,GLOB_GAVOC_02117,100.0,1,False
NR_133,GLOB_GAVOC_02119,94.11764705882352,1,False
GLOB_593,GLOB_GAVOC_02120,100.0,1,False
GLOB2_1827,GLOB_GAVOC_02130,100.0,1,True
GLOB2_E_15,GLOB_GAVOC_02135,100.0,1,False
GLOB_800,GLOB_GAVOC_02135,100.0,1,False
GLOB_178,GLOB_GAVOC_02141,100.0,1,False
GLOB_RT_90,GLOB_GAVOC_02149,100.0,1,False
GLOB_162,GLOB_GAVOC_02150,100.0,1,False
GLOB_577,GLOB_GAVOC_02161,100.0,1,True
GLOB2_1764,GLOB_GAVOC_02165,100.0,1,False
GLOB_RT_7,GLOB_GAVOC_02174,100.0,1,False
GLOB_RT_88,GLOB_GAVOC_02174,85.71428571428572,1,False
GLOB_NB_142,GLOB_GAVOC_02183,95.65217391304348,1,False
GLOB_593,GLOB_GAVOC_02185,100.0,1,False
GLOB_593,GLOB_GAVOC_02195,100.0,1,False
GLOB_NB_160,GLOB_GAVOC_02201,87.5,1,False
GLOB2_1603,GLOB_GAVOC_02209,100.0,1,False
GLOB2_1603,GLOB_GAVOC_02210,100.0,1,False
GLOB_36,GLOB_GAVOC_02211,100.0,1,True
GLOB2_E_182,GLOB_GAVOC_02213,100.0,1,True
GLOB_878,GLOB_GAVOC_02219,100.0,1,False
GLOB_878_HUM_1,GLOB_GAVOC_02219,100.0,1,False
GLOB_878_HUM_2,GLOB_GAVOC_02219,100.0,1,False
GLOB2_1862,GLOB_GAVOC_02236,85.71428571428572,1,False
GLOB2_1862_GEO_1,GLOB_GAVOC_02236,100.0,1,False
GLOB2_1862_GEO_2,GLOB_GAVOC_02236,85.71428571428572,1,True
GLOB_491,GLOB_GAVOC_02237,92.3076923076923,1,False
GLOB2_1464,GLOB_GAVOC_02271,100.0,1,False
GLOB_172,GLOB_GAVOC_02276,87.5,1,False
GLOB2_1478,GLOB_GAVOC_02283,100.0,1,True
GLOB_633,GLOB_GAVOC_02284,100.0,1,False
GLOB_156,GLOB_GAVOC_02286,100.0,1,False
GLOB_135_GEO_1,GLOB_GAVOC_02299,100.0,1,False
GLOB_629,GLOB_GAVOC_02305,100.0,1,False
GLOB_905,GLOB_GAVOC_02305,100.0,1,False
GLOB_905_GEO_1,GLOB_GAVOC_02305,100.0,1,False
GLOB_905_HUM_1,GLOB_GAVOC_02305,100.0,1,False
GLOB2_1029,GLOB_GAVOC_02310,100.0,1,True
GLOB2_E_109,GLOB_GAVOC_02350,100.0,1,False
GLOB_599,GLOB_GAVOC_02360,100.0,1,False
GLOB_599_HUM_1,GLOB_GAVOC_02360,100.0,1,False
GLOB_599_HUM_2,GLOB_GAVOC_02360,100.0,1,False
GLOB_38,GLOB_GAVOC_02387,100.0,1,False
GLOB_38,GLOB_GAVOC_02389,100.0,1,False
GLOB_NB_108,GLOB_GAVOC_02400,100.0,1,True
GLOB_273,GLOB_GAVOC_02404,100.0,1,False
GLOB_299,GLOB_GAVOC_02406,100.0,1,False
GLOB_806,GLOB_GAVOC_02414,100.0,1,False
GLOB_NB_64,GLOB_GAVOC_02428,100.0,1,False
NR_78,GLOB_GAVOC_02429,100.0,1,False
GLOB2_1416,GLOB_GAVOC_02443,100.0,1,True
GLOB_877,GLOB_GAVOC_02455,100.0,1,False
GLOB_877,GLOB_GAVOC_02461,84.61538461538461,1,False
